Commission Rate,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,WEX Connect Rate,Exch. Fee Rate,Clearing Fee,Total Charge
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,3,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.3,0,($0.75)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,3,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($1.11)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,3,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.60)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,3,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($1.11)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,3,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.3,0,($0.75)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.43,0,($1.52)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,3,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.60)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.43,0,($0.38)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.3,0,($0.25)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($0.37)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($0.74)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($0.37)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,3,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($1.11)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.40)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.3,0,($1.00)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.43,0,($0.76)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($0.74)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.3,0,($0.50)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,9,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,0.5,0,$4.95 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,0.49,0,$0.54 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.43,0,($0.76)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.43,0,($0.38)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.43,0,($0.38)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($0.37)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($0.37)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($0.37)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.3,0,($0.25)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,0.5,0,$0.55 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,5,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($1.85)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($1.48)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,3,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.60)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.80)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,3,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.60)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.3,0,($1.00)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,3,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.43,0,($1.14)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.43,0,($0.76)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.43,0,($0.76)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.43,0,($0.38)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,-0.43,0,($0.38)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,10,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,0.5,0,$5.50 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,9,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,0.48,0,$4.77 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,16,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.33 ,VIVALDI-OMNI,Per Unit,0,0.5,0,$8.80 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,22,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,0.5,0,$12.10 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,0.5,0,$0.55 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,22,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,0.5,0,$12.10 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,6,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,0.5,0,$3.30 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,0.5,0,$0.55 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,15,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,0.5,0,$8.25 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,3,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,0.5,0,$1.65 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,6,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,0.5,0,$3.30 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,6,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,0.5,0,$3.30 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,0.5,0,$0.55 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,0.5,0,$0.55 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($1.48)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.80)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,-0.43,0,($1.52)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,3,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.60)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.40)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,-0.3,0,($1.00)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,8,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,0.0025,0,$0.42 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,0.5,0,$2.20 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,0.5,0,$1.10 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,0.5,0,$2.20 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,0.5,0,$0.55 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,0.0025,0,$0.05 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.43,0,($0.38)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($0.37)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.3,0,($0.25)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.43,0,($0.38)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,-0.3,0,($1.00)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,5,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($1.85)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,3,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.32 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($1.11)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,10,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,0.49,0,$5.40 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,22,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.30 ,VIVALDI-OMNI,Per Unit,0,0.5,0,$12.10 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,3,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.30 ,VIVALDI-OMNI,Per Unit,0,0.49,0,$1.62 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,25,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.30 ,VIVALDI-OMNI,Per Unit,0,0.5,0,$13.75 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,3,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.30 ,VIVALDI-OMNI,Per Unit,0,0.5,0,$1.65 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,5,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.30 ,VIVALDI-OMNI,Per Unit,0,0.5,0,$2.75 
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.43,0,($0.38)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($0.37)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.3,0,($0.25)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.43,0,($0.38)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($0.37)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.43,0,($0.38)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.43,0,($0.76)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.3,0,($0.25)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($0.37)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($0.37)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.3,0,($0.25)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.3,0,($0.25)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($0.37)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.43,0,($0.38)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($0.37)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.43,0,($0.38)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($0.37)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.3,0,($0.25)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.43,0,($0.38)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.3,0,($0.25)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($0.37)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($0.37)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.3,0,($0.25)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.43,0,($0.76)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($0.37)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.3,0,($0.25)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.25,0,($0.20)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.42,0,($0.37)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,VIVALDI-OMNI,Per Unit,0,-0.3,0,($0.25)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,3,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,GABELLI,Per Unit,0,-0.42,0,($1.11)
0.05,10/15/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,1/21/2022,$10.00 ,C,$0.31 ,GABELLI,Per Unit,0,-0.25,0,($0.20)
